head,head_type,relation,tail,tail_type,confidence,sentence
storms.,Climate_Driver,occurs_in,California,Geo_Location,0.971,"PS-CoSMoS, like its prior iteration in California (CoSMoS), provides valuable coastal hazard projections to help communities plan for the impacts of sea-level rise and storms."
storms.,Climate_Driver,contributes_to,sea-level rise,Climate_Driver,0.965,"PS-CoSMoS, like its prior iteration in California (CoSMoS), provides valuable coastal hazard projections to help communities plan for the impacts of sea-level rise and storms."
Sea level rise,Climate_Driver,contributes_to,heavy precipitation,Climate_Driver,0.967,"Sea level rise (SLR) and heavy precipitation events are increasing the frequency and extent of coastal flooding, which can trigger releases of toxic chemicals from hazardous sites, many of which are in low-income communities of color."
Sea level rise,Climate_Driver,causes,"coastal flooding,",Env_Event,0.983,"Sea level rise (SLR) and heavy precipitation events are increasing the frequency and extent of coastal flooding, which can trigger releases of toxic chemicals from hazardous sites, many of which are in low-income communities of color."
heavy precipitation,Climate_Driver,increases,Sea level rise,Climate_Driver,0.939,"Sea level rise (SLR) and heavy precipitation events are increasing the frequency and extent of coastal flooding, which can trigger releases of toxic chemicals from hazardous sites, many of which are in low-income communities of color."
heavy precipitation,Climate_Driver,causes,"coastal flooding,",Env_Event,0.983,"Sea level rise (SLR) and heavy precipitation events are increasing the frequency and extent of coastal flooding, which can trigger releases of toxic chemicals from hazardous sites, many of which are in low-income communities of color."
flood,Env_Event,affects,low-lying,Geo_Location,0.899,We used regression models to estimate the association between facility flood risk and social vulnerability indicators in low-lying block groups in California.
flood,Env_Event,occurs_in,California.,Geo_Location,0.936,We used regression models to estimate the association between facility flood risk and social vulnerability indicators in low-lying block groups in California.
low-lying,Geo_Location,occurs_in,California.,Geo_Location,0.866,We used regression models to estimate the association between facility flood risk and social vulnerability indicators in low-lying block groups in California.
dasymetric,Policy,causes,flood,Env_Event,0.724,We applied dasymetric mapping techniques to refine facility boundaries and population estimates and probabilistic SLR projections to estimate facilities future flood risk.
sea-level rise,Climate_Driver,contributes_to,climate change,Climate_Driver,0.972,The exposure of populations to sea-level rise (SLR) is a leading indicator assessing the impact of future climate change on coastal regions.
sea-level rise,Climate_Driver,affects,coastal regions.,Ecosystem,0.967,The exposure of populations to sea-level rise (SLR) is a leading indicator assessing the impact of future climate change on coastal regions.
climate change,Climate_Driver,increases,sea-level rise,Climate_Driver,0.669,The exposure of populations to sea-level rise (SLR) is a leading indicator assessing the impact of future climate change on coastal regions.
climate change,Climate_Driver,affects,coastal regions.,Ecosystem,0.958,The exposure of populations to sea-level rise (SLR) is a leading indicator assessing the impact of future climate change on coastal regions.
flooding.,Env_Event,affects,coastal,Ecosystem,0.513,"SLR exposes coastal populations to a spectrum of impacts with broad spatial and temporal heterogeneity, but exposure assessments often narrowly define the spatial zone of flooding."
flooding,Env_Event,occurs_in,coastal United States,Geo_Location,0.984,We apply our model to the coastal United States to demonstrate a more robust assessment of population exposure to flooding from SLR in any given year.
sea-level rise,Climate_Driver,contributes_to,climate change,Climate_Driver,0.969,The exposure of populations to sea-level rise is a leading indicator assessing the impact of future climate change on coastal regions.
sea-level rise,Climate_Driver,affects,coastal regions.,Ecosystem,0.961,The exposure of populations to sea-level rise is a leading indicator assessing the impact of future climate change on coastal regions.
climate change,Climate_Driver,contributes_to,sea-level rise,Climate_Driver,0.655,The exposure of populations to sea-level rise is a leading indicator assessing the impact of future climate change on coastal regions.
climate change,Climate_Driver,affects,coastal regions.,Ecosystem,0.962,The exposure of populations to sea-level rise is a leading indicator assessing the impact of future climate change on coastal regions.
flooding,Env_Event,occurs_in,low-elevation coastal zone,Geo_Location,0.588,"The authors identify three spatial zones of flooding such as mean higher water, the 100 year floodplain and the low-elevation coastal zone and show population exposure can differ between those zones."
shallow,Climate_Variable,affects,coastal,Ecosystem,0.968,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
shallow,Climate_Variable,causes,groundwater flooding,Env_Event,0.985,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
shallow,Climate_Variable,causes,saltwater intrusion.,Env_Event,0.98,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
groundwater flooding,Env_Event,affects,shallow,Climate_Variable,0.598,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
groundwater flooding,Env_Event,affects,coastal,Ecosystem,0.888,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
groundwater flooding,Env_Event,causes,saltwater intrusion.,Env_Event,0.863,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
saltwater intrusion.,Env_Event,affects,shallow,Climate_Variable,0.514,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
saltwater intrusion.,Env_Event,affects,coastal,Ecosystem,0.901,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
saltwater intrusion.,Env_Event,causes,groundwater flooding,Env_Event,0.679,The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion.
coastal groundwater rise,Env_Event,causes,flooding,Env_Event,0.984,The benefits and limitations of the two main methods to assess coastal groundwater rise and contribution to flooding are discussed using studies and investigations up to 2021.
